target,rank,feature_id,column_name,variant,correlation,n_samples
w1440_h105,59,mom_eurusd.mom_zscore_1440,mom_zscore_1440,idx,0.5068,1215422
w1440_h105,60,align_eurusd.pos_720,pos_720,idx,0.5029,1215518
w1440_h105,61,agg_eurusd.agg_position_720,agg_position_720,idx,0.5029,1215518
w1440_h105,62,mrt_eurusd.mrt_tension_720,mrt_tension_720,idx,0.4986,1215518
w1440_h105,63,mom_eurusd.mom_pos_count_360,mom_pos_count_360,idx,0.466,1215518
w1440_h105,64,align_eurusd.zscore_720,zscore_720,idx,0.4656,1215518
w1440_h105,65,reg_eurusd.reg_zscore_720,reg_zscore_720,idx,0.4656,1215518
w1440_h105,66,reg_eurusd.reg_deviation_360,reg_deviation_360,idx,0.4476,1215518
w1440_h105,67,div_eurusd.div_cascade_direction,div_cascade_direction,idx,-0.3879,1215518
w1440_h105,68,agg_bqx_eurusd.agg_sum_180,agg_sum_180,bqx,0.3808,1215516
w1440_h105,69,agg_bqx_eurusd.agg_mean_180,agg_mean_180,bqx,0.3808,1215516
w1440_h105,70,reg_bqx_eurusd.reg_mean_180,reg_mean_180,bqx,0.3808,1215516
w1440_h105,71,mom_eurusd.mom_roc_smooth_180,mom_roc_smooth_180,idx,0.3807,1215506
w1440_h105,72,mom_eurusd.mom_diff_180,mom_diff_180,idx,0.3674,1215506
w1440_h105,73,der_eurusd.der_v1_180,der_v1_180,idx,0.3674,1215506
w1440_h105,74,reg_eurusd.reg_slope_180,reg_slope_180,idx,0.3666,1215518
w1440_h105,75,eurusd_bqx.bqx_180,bqx_180,bqx,0.366,1215506
w1440_h105,76,mom_eurusd.mom_roc_180,mom_roc_180,idx,0.366,1215506
w1440_h105,77,mrt_eurusd.mrt_tension_360,mrt_tension_360,idx,0.3437,1215518
w1440_h105,78,mom_eurusd.mom_dir_360,mom_dir_360,idx,0.3356,1215493
w1440_h105,79,align_eurusd.dir_360,dir_360,idx,0.3356,1215493
w1440_h105,80,reg_eurusd.reg_direction_360,reg_direction_360,idx,0.335,1215518
w1440_h105,81,agg_eurusd.agg_position_360,agg_position_360,idx,0.327,1215518
w1440_h105,82,align_eurusd.pos_360,pos_360,idx,0.327,1215518
w1440_h105,83,reg_eurusd.reg_deviation_180,reg_deviation_180,idx,0.3208,1215518
w1440_h105,84,lag_bqx_eurusd_90.sma_90,sma_90,bqx,0.3208,1209473
w1440_h105,85,reg_bqx_eurusd.reg_max_1440,reg_max_1440,bqx,0.3176,1215516
