pair,feature_name,source_table,best_horizon,max_corr,h15,h30,h45,h60,h75,h90,h105
chfjpy,open_lag_45,lag_chfjpy_45,h60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,val1,cov_lag_chfjpy_gbpjpy,h75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,close_lag_45,lag_chfjpy_45,h75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,val2,cov_lag_audjpy_chfjpy,h75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,reg_const_term_45,reg_chfjpy,h75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,reg_first_45,reg_chfjpy,h75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,val2,cov_lag_cadjpy_chfjpy,h75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,low_lag_45,lag_chfjpy_45,h75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,val1,cov_lag_chfjpy_eurjpy,h75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,reg_max_360,reg_chfjpy,h30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,agg_max_360,agg_chfjpy,h30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,reg_min_180,reg_chfjpy,h45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,agg_min_180,agg_chfjpy,h45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,val1,cov_lag_chfjpy_nzdchf,h75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,val2,cov_lag_audchf_chfjpy,h75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,reg_ci_lower_2880,reg_chfjpy,h105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,reg_ci_lower_1440,reg_chfjpy,h105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,high_idx,chfjpy_idx,h105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,reg_min_90,reg_chfjpy,h75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,agg_min_90,agg_chfjpy,h75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,reg_ci_lower_45,reg_chfjpy,h105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,reg_ci_lower_720,reg_chfjpy,h105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,reg_ci_lower_90,reg_chfjpy,h105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,reg_ci_lower_360,reg_chfjpy,h105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,reg_ci_lower_180,reg_chfjpy,h105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,open_idx,chfjpy_idx,h105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,val2,cov_lag_cadchf_chfjpy,h75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,close_idx,chfjpy_idx,h105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,reg_min_45,reg_chfjpy,h90,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,agg_min_45,agg_chfjpy,h90,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,reg_ci_upper_180,reg_chfjpy,h105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,reg_ci_upper_360,reg_chfjpy,h105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,low_idx,chfjpy_idx,h105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,reg_ci_upper_720,reg_chfjpy,h105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,reg_ci_upper_90,reg_chfjpy,h105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,reg_ci_upper_1440,reg_chfjpy,h105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,reg_ci_upper_2880,reg_chfjpy,h105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,reg_ci_upper_45,reg_chfjpy,h105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,val1,cov_lag_chfjpy_eurchf,h75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,val1,cov_reg_chfjpy_usdchf,h90,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,val1,cov_agg_chfjpy_usdchf,h90,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chfjpy,reg_min_360,reg_chfjpy,h15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
